city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider,uv_index,visibility
Chennai,India,2026-03-07 12:00:00,31.2,62,19.4,1012.2,Rainy,2.4,STN_CHN_01,ClimaData,2.9,14.9
Bangalore,India,2026-03-07 12:00:00,21.1,62,12.1,901.4,Haze,5.1,STN_BLR_02,ClimaData,9.6,2.8
Hyderabad,India,2026-03-07 12:00:00,26.1,53,19.8,990.1,Partly Cloudy,6.5,STN_HYD_01,ClimaData,7.7,13.9
Mumbai,India,2026-03-07 12:00:00,32.4,89,12.8,1011.2,Partly Cloudy,2.3,STN_MUM_02,ClimaData,5.2,3.9
Delhi,India,2026-03-07 12:00:00,40.4,59,18.4,1007.3,Haze,0.6,STN_DEL_01,ClimaData,7.2,10.7
Pune,India,2026-03-07 12:00:00,35.0,73,12.9,947.1,Cloudy,1.2,STN_PNE_01,ClimaData,6.1,10.1
Chennai,India,2026-03-07 13:00:00,31.7,66,16.5,1007.5,Cloudy,7.4,STN_CHN_02,ClimaData,3.2,3.4
Bangalore,India,2026-03-07 13:00:00,23.7,66,12.4,906.5,Haze,6.4,STN_BLR_01,ClimaData,3.2,6.0
Hyderabad,India,2026-03-07 13:00:00,34.5,61,13.4,999.3,Partly Cloudy,9.3,STN_HYD_02,ClimaData,2.4,6.1
Mumbai,India,2026-03-07 13:00:00,33.1,67,18.9,1013.8,Rainy,0.9,STN_MUM_02,ClimaData,3.1,4.5
Delhi,India,2026-03-07 13:00:00,33.3,63,9.4,1003.3,Thunderstorm,5.0,STN_DEL_02,ClimaData,6.5,12.7
Pune,India,2026-03-07 13:00:00,30.2,64,14.5,945.2,Thunderstorm,5.0,STN_PNE_02,ClimaData,6.6,14.5
Chennai,India,2026-03-07 14:00:00,30.4,62,8.6,1010.0,Partly Cloudy,10.9,STN_CHN_01,ClimaData,6.6,5.5
Bangalore,India,2026-03-07 14:00:00,20.6,55,15.5,910.9,Foggy,1.6,STN_BLR_02,ClimaData,7.7,13.7
Hyderabad,India,2026-03-07 14:00:00,37.3,69,13.6,998.5,Cloudy,3.0,STN_HYD_01,ClimaData,3.9,9.5
Mumbai,India,2026-03-07 14:00:00,33.1,65,13.9,1012.7,Foggy,17.9,STN_MUM_02,ClimaData,4.4,10.4
Delhi,India,2026-03-07 14:00:00,37.5,48,13.8,996.2,Partly Cloudy,2.2,STN_DEL_02,ClimaData,6.9,10.7
Pune,India,2026-03-07 14:00:00,24.6,65,7.6,951.4,Rainy,9.9,STN_PNE_02,ClimaData,1.4,7.2
Chennai,India,2026-03-07 15:00:00,36.8,83,17.3,1014.3,Rainy,3.1,STN_CHN_02,ClimaData,2.0,11.6
Bangalore,India,2026-03-07 15:00:00,22.6,60,15.1,911.5,Rainy,8.3,STN_BLR_02,ClimaData,6.9,12.2
Hyderabad,India,2026-03-07 15:00:00,34.7,56,19.4,999.5,Cloudy,1.8,STN_HYD_01,ClimaData,6.2,12.4
Mumbai,India,2026-03-07 15:00:00,31.2,67,17.9,1014.3,Partly Cloudy,0.6,STN_MUM_02,ClimaData,2.5,7.8
Delhi,India,2026-03-07 15:00:00,41.2,47,13.5,1000.6,Partly Cloudy,4.6,STN_DEL_01,ClimaData,9.0,8.5
Pune,India,2026-03-07 15:00:00,33.4,78,13.6,942.3,Partly Cloudy,11.2,STN_PNE_01,ClimaData,7.7,7.5
Chennai,India,2026-03-07 16:00:00,35.0,81,12.8,1011.4,Cloudy,9.1,STN_CHN_01,ClimaData,3.3,5.2
Bangalore,India,2026-03-07 16:00:00,21.4,60,5.9,904.3,Rainy,7.6,STN_BLR_02,ClimaData,1.2,12.0
Hyderabad,India,2026-03-07 16:00:00,28.6,62,11.3,994.8,Foggy,5.3,STN_HYD_02,ClimaData,7.0,7.9
Mumbai,India,2026-03-07 16:00:00,30.3,81,16.2,1012.3,Clear,14.8,STN_MUM_01,ClimaData,2.7,8.0
Delhi,India,2026-03-07 16:00:00,31.0,49,9.0,1003.5,Cloudy,3.2,STN_DEL_02,ClimaData,7.8,14.9
Pune,India,2026-03-07 16:00:00,26.9,58,10.6,945.4,Haze,8.9,STN_PNE_02,ClimaData,8.1,5.1
Chennai,India,2026-03-07 17:00:00,29.5,67,10.4,1012.4,Clear,14.1,STN_CHN_01,ClimaData,10.1,3.6
Bangalore,India,2026-03-07 17:00:00,24.7,71,9.5,907.9,Haze,6.7,STN_BLR_01,ClimaData,7.1,9.0
Hyderabad,India,2026-03-07 17:00:00,31.7,58,14.2,1002.8,Cloudy,1.8,STN_HYD_01,ClimaData,9.1,12.2
Mumbai,India,2026-03-07 17:00:00,35.1,77,14.3,1011.9,Thunderstorm,5.5,STN_MUM_02,ClimaData,3.2,12.0
Delhi,India,2026-03-07 17:00:00,39.4,53,25.3,1005.5,Clear,0.4,STN_DEL_02,ClimaData,10.6,14.1
Pune,India,2026-03-07 17:00:00,28.2,61,11.4,950.7,Cloudy,9.7,STN_PNE_01,ClimaData,8.9,13.4
Chennai,India,2026-03-07 18:00:00,29.5,61,19.7,1008.3,Foggy,14.6,STN_CHN_01,ClimaData,8.8,12.9
Bangalore,India,2026-03-07 18:00:00,20.2,74,13.1,908.9,Partly Cloudy,7.2,STN_BLR_02,ClimaData,3.9,7.8
Hyderabad,India,2026-03-07 18:00:00,30.7,45,8.1,1004.7,Foggy,1.8,STN_HYD_02,ClimaData,8.3,3.9
Mumbai,India,2026-03-07 18:00:00,29.9,66,11.8,1009.6,Cloudy,11.7,STN_MUM_02,ClimaData,1.7,8.5
Delhi,India,2026-03-07 18:00:00,33.8,62,18.9,1005.6,Cloudy,4.4,STN_DEL_01,ClimaData,3.7,7.2
