city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider
Chennai,India,INVALID_TIMESTAMP,35.3,73,8.3,N/A,Cloudy,9.0,STN_CHN_01,WeatherPro
Bangalore,India,2026-03-06 00:00:00,20.6,64,6.7,907.9,Foggy,10.0,STN_BLR_01,WeatherPro
Hyderabad,India,INVALID_TIMESTAMP,29.5,69,9.1,N/A,Thunderstorm,11.2,STN_HYD_01,ClimaData
Mumbai,India,2026-03-06 00:00:00,30.8,78,17.6,1015.1,Clear,9.9,STN_MUM_02,SkyWatch
Delhi,India,2026-03-06 00:00:00,29.0,57,8.9,1000.5,Rainy,3.5,STN_DEL_02,ClimaData
Pune,India,INVALID_TIMESTAMP,24.0,74,18.4,N/A,Haze,3.0,STN_PNE_02,SkyWatch
Chennai,India,INVALID_TIMESTAMP,34.1,82,12.4,N/A,Rainy,8.8,STN_CHN_01,WeatherPro
Bangalore,India,2026-03-06 01:00:00,22.8,72,16.3,900.1,Rainy,5.6,STN_BLR_02,SkyWatch
Hyderabad,India,INVALID_TIMESTAMP,26.3,47,11.4,N/A,Thunderstorm,10.4,STN_HYD_01,WeatherPro
Mumbai,India,2026-03-06 01:00:00,31.5,77,12.4,1011.0,Rainy,1.6,STN_MUM_01,WeatherPro
Delhi,India,INVALID_TIMESTAMP,38.9,52,12.9,N/A,Rainy,1.4,STN_DEL_01,WeatherPro
Pune,India,2026-03-06 01:00:00,29.6,61,12.8,950.8,Partly Cloudy,6.3,STN_PNE_01,SkyWatch
Chennai,India,2026-03-06 02:00:00,33.2,66,16.7,1006.2,Clear,7.4,STN_CHN_01,ClimaData
Bangalore,India,INVALID_TIMESTAMP,31.7,74,14.1,N/A,Thunderstorm,6.4,STN_BLR_01,SkyWatch
Hyderabad,India,2026-03-06 02:00:00,30.7,46,12.2,1004.3,Haze,8.9,STN_HYD_02,WeatherPro
Mumbai,India,2026-03-06 02:00:00,30.5,90,16.6,1015.5,Haze,18.8,STN_MUM_01,AtmosAPI
Delhi,India,2026-03-06 02:00:00,27.5,38,14.0,1009.1,Thunderstorm,7.6,STN_DEL_01,SkyWatch
Pune,India,2026-03-06 02:00:00,34.1,68,10.9,951.1,Partly Cloudy,5.2,STN_PNE_01,SkyWatch
Chennai,India,2026-03-06 03:00:00,31.1,81,9.2,1014.5,Partly Cloudy,9.1,STN_CHN_01,AtmosAPI
Bangalore,India,2026-03-06 03:00:00,22.2,71,16.3,904.3,Thunderstorm,2.5,STN_BLR_02,WeatherPro
Hyderabad,India,2026-03-06 03:00:00,32.5,70,17.6,1000.3,Rainy,0.5,STN_HYD_01,ClimaData
Mumbai,India,2026-03-06 03:00:00,33.9,84,11.6,1010.3,Rainy,2.2,STN_MUM_02,WeatherPro
Delhi,India,2026-03-06 03:00:00,22.5,61,8.3,998.9,Clear,5.4,STN_DEL_01,WeatherPro
Pune,India,2026-03-06 03:00:00,31.2,78,6.8,953.6,Haze,7.3,STN_PNE_02,ClimaData
Chennai,India,INVALID_TIMESTAMP,35.8,74,12.0,N/A,Foggy,12.2,STN_CHN_01,SkyWatch
Bangalore,India,INVALID_TIMESTAMP,28.2,55,14.5,N/A,Foggy,2.8,STN_BLR_02,SkyWatch
Hyderabad,India,INVALID_TIMESTAMP,35.3,60,21.8,N/A,Thunderstorm,1.3,STN_HYD_02,SkyWatch
Mumbai,India,INVALID_TIMESTAMP,27.9,86,10.3,N/A,Rainy,15.5,STN_MUM_02,WeatherPro
Delhi,India,INVALID_TIMESTAMP,24.4,38,12.8,N/A,Thunderstorm,3.1,STN_DEL_01,ClimaData
Pune,India,INVALID_TIMESTAMP,35.4,51,7.7,N/A,Partly Cloudy,2.8,STN_PNE_01,AtmosAPI
Chennai,India,INVALID_TIMESTAMP,33.7,72,18.8,N/A,Partly Cloudy,13.8,STN_CHN_02,AtmosAPI
Bangalore,India,INVALID_TIMESTAMP,31.5,69,9.9,N/A,Haze,0.6,STN_BLR_02,AtmosAPI
Hyderabad,India,INVALID_TIMESTAMP,28.7,49,19.3,N/A,Thunderstorm,3.2,STN_HYD_02,AtmosAPI
Mumbai,India,2026-03-06 05:00:00,27.3,67,23.7,1008.5,Cloudy,7.5,STN_MUM_01,WeatherPro
