city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider
Chennai,India,2026-02-22 00:00:00,37.8,74,11.4,1009.7,Haze,1.0,STN_CHN_02,WeatherPro
Bangalore,India,2026-02-22 00:00:00,27.5,57,11.9,913.3,Foggy,1.5,STN_BLR_02,WeatherPro
Hyderabad,India,2026-02-22 00:00:00,39.0,69,21.4,999.3,Clear,6.0,STN_HYD_02,WeatherPro
Mumbai,India,2026-02-22 00:00:00,35.5,83,22.6,1012.9,Rainy,5.2,STN_MUM_02,WeatherPro
Delhi,India,2026-02-22 00:00:00,25.0,46,28.8,997.3,Foggy,7.3,STN_DEL_02,WeatherPro
Pune,India,2026-02-22 00:00:00,31.0,69,18.2,940.8,Clear,5.7,STN_PNE_01,WeatherPro
Chennai,India,2026-02-22 01:00:00,31.0,74,16.4,1009.5,Haze,10.7,STN_CHN_01,WeatherPro
Bangalore,India,2026-02-22 01:00:00,31.1,64,5.9,913.8,Partly Cloudy,3.2,STN_BLR_01,WeatherPro
Hyderabad,India,2026-02-22 01:00:00,31.6,64,13.0,999.5,Cloudy,6.8,STN_HYD_02,WeatherPro
Mumbai,India,2026-02-22 01:00:00,32.2,87,17.4,1008.4,Foggy,13.2,STN_MUM_02,WeatherPro
Delhi,India,2026-02-22 01:00:00,22.5,46,11.6,1000.8,Clear,1.3,STN_DEL_02,WeatherPro
Pune,India,2026-02-22 01:00:00,25.6,51,6.0,950.8,Partly Cloudy,10.7,STN_PNE_02,WeatherPro
Chennai,India,2026-02-22 02:00:00,29.9,80,18.7,1006.5,Clear,13.0,STN_CHN_01,WeatherPro
Bangalore,India,2026-02-22 02:00:00,29.8,60,12.1,911.9,Clear,1.2,STN_BLR_02,WeatherPro
Hyderabad,India,2026-02-22 02:00:00,28.0,54,17.7,1000.4,Foggy,10.6,STN_HYD_02,WeatherPro
Mumbai,India,2026-02-22 02:00:00,34.6,82,13.3,1013.9,Cloudy,12.4,STN_MUM_01,WeatherPro
Delhi,India,2026-02-22 02:00:00,27.7,65,23.5,995.9,Rainy,5.4,STN_DEL_02,WeatherPro
Pune,India,2026-02-22 02:00:00,26.8,54,16.1,953.3,Thunderstorm,8.9,STN_PNE_01,WeatherPro
Chennai,India,2026-02-22 03:00:00,35.1,61,14.5,1007.0,Rainy,2.5,STN_CHN_01,WeatherPro
Bangalore,India,2026-02-22 03:00:00,30.9,50,7.2,902.6,Clear,6.3,STN_BLR_01,WeatherPro
Hyderabad,India,2026-02-22 03:00:00,27.7,59,12.4,997.8,Rainy,2.0,STN_HYD_01,WeatherPro
