city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider
Chennai,India,2026-03-08 00:00:00,30.1,65,14.4,1014.0,Rainy,0.6,101,SkyWatch
Bangalore,India,2026-03-08 00:00:00,26.5,62,17.1,901.9,Cloudy,8.8,201,SkyWatch
Hyderabad,India,2026-03-08 00:00:00,35.8,62,14.3,1004.1,Rainy,10.3,302,SkyWatch
Mumbai,India,2026-03-08 00:00:00,33.8,88,12.3,1013.7,Haze,7.8,401,SkyWatch
Delhi,India,2026-03-08 00:00:00,33.0,37,27.3,1002.8,Rainy,3.3,501,SkyWatch
Pune,India,2026-03-08 00:00:00,28.0,68,16.3,948.6,Rainy,4.8,601,SkyWatch
Chennai,India,2026-03-08 01:00:00,37.6,77,17.7,1006.0,Clear,6.4,101,SkyWatch
Bangalore,India,2026-03-08 01:00:00,31.8,57,8.2,914.2,Foggy,6.2,201,SkyWatch
Hyderabad,India,2026-03-08 01:00:00,35.2,57,11.5,992.7,Foggy,10.9,302,SkyWatch
Mumbai,India,2026-03-08 01:00:00,31.7,65,22.7,1014.6,Foggy,19.9,401,SkyWatch
Delhi,India,2026-03-08 01:00:00,31.6,60,22.6,1009.1,Haze,1.7,502,SkyWatch
Pune,India,2026-03-08 01:00:00,35.0,78,15.8,946.9,Partly Cloudy,11.8,602,SkyWatch
Chennai,India,2026-03-08 02:00:00,35.1,72,11.8,1014.4,Rainy,2.8,101,SkyWatch
Bangalore,India,2026-03-08 02:00:00,27.7,67,8.5,913.6,Thunderstorm,2.2,202,SkyWatch
Hyderabad,India,2026-03-08 02:00:00,25.4,70,19.7,999.7,Cloudy,2.6,302,SkyWatch
Mumbai,India,2026-03-08 02:00:00,32.2,82,21.9,1008.1,Clear,19.8,402,SkyWatch
Delhi,India,2026-03-08 02:00:00,34.9,63,16.6,1007.5,Haze,7.7,502,SkyWatch
Pune,India,2026-03-08 02:00:00,32.7,58,19.4,940.8,Clear,10.8,602,SkyWatch
Chennai,India,2026-03-08 03:00:00,32.2,73,10.5,1011.4,Cloudy,0.9,101,SkyWatch
Bangalore,India,2026-03-08 03:00:00,31.1,52,8.1,910.5,Haze,5.9,201,SkyWatch
Hyderabad,India,2026-03-08 03:00:00,26.3,60,7.2,992.8,Clear,1.9,301,SkyWatch
Mumbai,India,2026-03-08 03:00:00,30.7,78,12.9,1015.4,Cloudy,18.8,402,SkyWatch
Delhi,India,2026-03-08 03:00:00,31.9,54,17.4,1005.6,Clear,7.0,502,SkyWatch
Pune,India,2026-03-08 03:00:00,24.9,61,12.5,953.9,Rainy,5.4,601,SkyWatch
