city,country,event_time,temperature,humidity,wind_speed,pressure,weather_condition,rainfall,station_id,data_provider
Chennai,India,2026-03-01 00:00:00,40.1,69,10.8,1005.7,Clear,38.0,STN_CHN_01,WeatherPro
Mumbai,India,2026-03-01 00:00:00,39.9,73,10.0,1013.7,Cloudy,20.3,STN_MUM_02,AtmosAPI
Delhi,India,2026-03-01 00:00:00,38.3,44,15.3,1002.8,Foggy,28.2,STN_DEL_01,ClimaData
Chennai,India,2026-03-01 01:00:00,41.6,77,11.9,1006.9,Foggy,28.8,STN_CHN_01,AtmosAPI
Mumbai,India,2026-03-01 01:00:00,39.7,69,16.4,1012.6,Clear,23.7,STN_MUM_01,ClimaData
Delhi,India,2026-03-01 01:00:00,38.4,41,12.0,1009.2,Foggy,39.5,STN_DEL_01,WeatherPro
Chennai,India,2026-03-01 02:00:00,39.9,72,9.6,1005.5,Cloudy,21.6,STN_CHN_01,AtmosAPI
Mumbai,India,2026-03-01 02:00:00,36.0,72,20.2,1008.8,Thunderstorm,25.0,STN_MUM_02,SkyWatch
Delhi,India,2026-03-01 02:00:00,37.1,38,15.3,1003.8,Cloudy,42.8,STN_DEL_01,AtmosAPI
Chennai,India,2026-03-01 03:00:00,39.7,70,17.0,1006.5,Thunderstorm,34.5,STN_CHN_01,WeatherPro
Mumbai,India,2026-03-01 03:00:00,35.1,76,11.9,1015.8,Haze,21.3,STN_MUM_02,WeatherPro
Delhi,India,2026-03-01 03:00:00,38.0,57,11.1,1002.1,Haze,36.6,STN_DEL_01,ClimaData
Chennai,India,2026-03-01 04:00:00,37.9,60,10.6,1006.7,Rainy,24.5,STN_CHN_02,ClimaData
Mumbai,India,2026-03-01 04:00:00,35.8,70,24.3,1015.5,Cloudy,20.4,STN_MUM_01,WeatherPro
Delhi,India,2026-03-01 04:00:00,40.6,60,10.2,998.4,Foggy,40.5,STN_DEL_02,ClimaData
Chennai,India,2026-03-01 05:00:00,40.7,70,15.6,1013.5,Partly Cloudy,27.2,STN_CHN_02,WeatherPro
Mumbai,India,2026-03-01 05:00:00,40.6,80,11.8,1014.1,Partly Cloudy,35.3,STN_MUM_02,AtmosAPI
Delhi,India,2026-03-01 05:00:00,35.5,64,22.7,1004.6,Clear,24.5,STN_DEL_02,SkyWatch
Chennai,India,2026-03-01 06:00:00,41.8,84,19.1,1014.4,Haze,26.3,STN_CHN_01,ClimaData
Mumbai,India,2026-03-01 06:00:00,35.4,72,16.9,1013.2,Haze,31.3,STN_MUM_01,ClimaData
Delhi,India,2026-03-01 06:00:00,40.1,56,10.5,995.9,Partly Cloudy,26.2,STN_DEL_02,AtmosAPI
Chennai,India,2026-03-01 07:00:00,37.9,76,19.4,1014.0,Haze,22.6,STN_CHN_02,SkyWatch
Mumbai,India,2026-03-01 07:00:00,37.6,73,14.3,1013.3,Partly Cloudy,40.4,STN_MUM_02,WeatherPro
Delhi,India,2026-03-01 07:00:00,37.3,42,24.3,1002.0,Foggy,23.2,STN_DEL_02,ClimaData
Chennai,India,2026-03-01 08:00:00,41.3,62,15.9,1005.2,Clear,43.3,STN_CHN_01,AtmosAPI
Mumbai,India,2026-03-01 08:00:00,41.7,88,11.3,1008.9,Foggy,34.9,STN_MUM_01,SkyWatch
Delhi,India,2026-03-01 08:00:00,36.1,47,25.4,1001.5,Rainy,24.1,STN_DEL_01,AtmosAPI
Chennai,India,2026-03-01 09:00:00,35.8,84,18.7,1011.5,Foggy,35.0,STN_CHN_01,AtmosAPI
Mumbai,India,2026-03-01 09:00:00,36.6,67,16.4,1011.4,Thunderstorm,31.4,STN_MUM_02,ClimaData
Delhi,India,2026-03-01 09:00:00,38.9,64,15.2,1007.4,Cloudy,39.5,STN_DEL_01,AtmosAPI
Chennai,India,2026-03-01 10:00:00,39.1,65,10.4,1013.6,Clear,34.0,STN_CHN_02,AtmosAPI
Mumbai,India,2026-03-01 10:00:00,35.3,76,13.4,1011.5,Clear,29.6,STN_MUM_02,SkyWatch
Delhi,India,2026-03-01 10:00:00,39.4,64,22.0,1000.6,Clear,24.5,STN_DEL_01,AtmosAPI
Chennai,India,2026-03-01 11:00:00,39.2,66,11.2,1008.5,Rainy,21.3,STN_CHN_02,SkyWatch
Mumbai,India,2026-03-01 11:00:00,38.1,75,12.7,1013.6,Partly Cloudy,34.3,STN_MUM_01,AtmosAPI
Delhi,India,2026-03-01 11:00:00,40.0,54,8.1,1005.5,Foggy,34.1,STN_DEL_01,SkyWatch
